PM2.5,NO2,PM10,NO,NOx,O3,tavg,AQI
313.22,36.39,607.98,69.16,110.59,41.68,14.9,472
186.18,32.87,269.55,62.09,88.14,29.97,14.7,454
87.18,30.31,131.9,25.73,47.95,19.71,15,143
151.84,36.91,241.84,25.01,48.62,25.36,14.2,319
146.6,34.92,219.13,14.01,38.25,23.2,13.9,325
149.58,37.84,252.1,17.21,42.46,26.83,12,318
217.87,40.15,376.51,26.99,52.41,28.96,9.8,353
229.9,43.16,360.95,23.34,51.21,30.51,10.1,383
201.66,38.56,397.43,19.18,45.6,32.94,10.5,375
221.02,46.39,361.74,24.79,55.19,34.12,11.2,376
205.41,47.29,393.2,28.46,57.88,50.37,11.1,379
212.41,44.71,345.63,24.77,54.66,40.08,10.6,375
197.61,45.88,301.04,34.28,62.95,39.54,12.3,366
164.39,41.17,227.38,20.78,48.09,42.05,12.1,353
166.19,56.7,283.93,47.91,79.73,43.25,12.3,340
174.98,49.41,309.99,42.33,70.6,34.7,13,356
196.46,53.04,356.2,42.18,80.18,25.77,13.6,360
201.51,53.77,359.75,45.51,75.83,23.22,13.2,370
183.35,39.88,305.13,27.32,55.67,25.34,13.9,362
165.63,34.23,257.04,16.47,37.68,22.69,13.4,340
159.54,22.56,235.27,12.27,33.02,18.56,13.2,338
143.68,21.82,183.89,14.75,34.88,6.94,12.6,332
128.73,17.35,136.07,11.99,29.46,10.91,14.7,254
164.98,15.77,200.02,10.38,25.49,9.35,12.5,324
148.59,20.83,203.81,11.82,28.29,16.65,13.1,333
129.34,25.66,137.86,12.46,29.48,18.18,13.7,292
154.2,30.39,217.2,14.41,34.63,17.11,13.3,318
134.6,28.6,156.9,18.96,35.57,15.23,12.6,295
173.13,38.34,277,23.14,48.89,16.29,12.2,327
178.04,38.43,272.61,19.8,44.45,14.91,12.7,345
158.59,41.36,207.06,30.67,57.77,17.51,13.8,334
211.59,58.17,371.05,57.56,93.17,23.28,15.1,358
163.64,37.25,219.84,13.7,39.34,28.38,17.3,349
157.71,31.05,194.09,12.28,34.1,28.56,16.7,334
137.26,29.69,147.08,15.21,36.06,15.07,14.6,313
131.76,36.51,127.42,23.15,47.4,21.7,14.4,262
151.6,67,330.99,46.66,84.76,33.92,15.2,303
160.75,57.69,210.52,37.54,71.68,43.44,15.7,329
